Model Auta,Verze modelu,Cena,Datum registrace,Najezd,Stk,Stav,Vykon,Objem motoru,Typ paliva,Typ prevodovky,Typ karoserie,Pocet dveri,Pocet mist,Barva exterieru,Adresa prodejce
BMW X5,"M50D,2.Maj.Serv.Kn.INDIVIDUAL",999 000 Kč,2017,175000km,9/2023,Perfektní,280 kW / 381 PS,2 993 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,bílá metalíza,Libeňský ostrov Praha-8 18000
BMW X5,"30d xDrive INDIVIDUAL,ČR,1.Maj",995 000 Kč,10/2019,107323km,10/2025,neuvedeno,195 kW / 265 PS,2 993 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,černá metalíza,Holice 907 Olomouc 77900
BMW X6,"3,0 xDrive30d M ACC HUD 59TKM",995 000 Kč,4/2017,59623km,1/2026,Perfektní,190 kW / 258 PS,2 979 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,černá,"Horní lán 1306/4 Olomouc, Olomoucký kraj 77900"
BMW X3,M40i X-drive Msport,990 000 Kč,7/2018,97000km,12/2024,Perfektní,265 kW / 360 PS,2 998 cm³,benzin,aut. převodovka,SUV,5 dveří,5 míst,bílá,Černokostelecká 697/59 Říčany u Prahy 25101
BMW Řada 2,218i Gran Coupe M Sport,999 000 Kč,2021,25000km,neuvedeno,Předváděcí vozidlo,100 kW / 136 PS,1 499 cm³,benzin,aut. převodovka,kupé,4 dveře,5 míst,černá,Přístavní 837/85 Ústí nad Labem 40007
BMW Řada 2,M240i xDrive Coupe ČR,999 000 Kč,5/2022,35000km,neuvedeno,neuvedeno,285 kW / 387 PS,2 998 cm³,benzin,aut. převodovka,kupé,2 dveře,4 místa,červená metalíza,Za Kličovem 1 Praha 9 19000
BMW M5,"5,0 e60 V10 SERVIS",999 000 Kč,3/2006,115000km,3/2025,Velmi dobrý,373 kW / 507 PS,4 999 cm³,benzin,aut. převodovka,sedan,4 dveře,5 míst,černá metalíza,Ke Zvoli 794 Dolní Břežany 25241
BMW X1,sDrive18i,998 000 Kč,2022,36000km,10/2026,Perfektní,100 kW / 136 PS,1 499 cm³,benzin,aut. převodovka,SUV,5 dveří,5 míst,černá metalíza,Ruská 3018 Ostrava-Moravská Ostrava 70300
BMW X4,M40d,999 000 Kč,12/2019,99655km,5/2025,Perfektní,240 kW / 326 PS,2 993 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,tmavě červená metalíza,Tř.T.Bati 400 Zlín 76001
BMW Řada 5,540i xDrive M-Paket 250 kW,999 900 Kč,1/2019,64000km,neuvedeno,Perfektní,250 kW / 340 PS,2 998 cm³,benzin,aut. převodovka,sedan,5 dveří,5 míst,černá,Poříčí 851 Boršov nad Vltavou 37382
